window,field,left_rows_finite,right_rows_finite,left_mean,right_mean,right_minus_left,standardized_difference_pooled_sd
2.0,chooser_rd,7463588,7688676,48.04372355225316,48.4775164869879,0.4337929347347398,0.030003779230707222
2.0,opponent_rd,7463588,7688676,59.73433052158825,59.86743189055104,0.1331013689627909,0.0025107726259424976
2.0,log_chooser_clock,7463588,7688676,5.354904976983552,5.3341457998532915,-0.020759177130260653,-0.025527268593036678
2.0,log_opponent_clock,7463540,7688641,5.421352705183964,5.413495145884896,-0.007857559299067951,-0.010664963376170929
2.0,tournament,7463588,7688676,0.01934431536145886,0.01874197846287189,-0.0006023368985869706,-0.0044075290926118725
2.0,month_code,7463588,7688676,11.523193670390166,11.543778798846512,0.020585128456346524,0.0029637257164753616
2.0,speed_code,7463588,7688676,2.210521132731335,2.2051726461096814,-0.00534848662165377,-0.008406616085864268
4.0,price,8061622,8258620,7.025517609918166,7.2274088727348555,0.20189126281668912,0.026264577492986524
4.0,engine_eval_cp,8061622,8258620,265.16270881963953,295.83498017828646,30.672271358646924,0.02507485752408113
4.0,chooser_elo,8061622,8258620,1478.1030894279093,1444.098271866244,-34.00481756166528,-0.09210862579600418
4.0,opponent_elo,8061622,8258620,1435.0829453427611,1485.0787626746358,49.995817331874605,0.13519711692080766
4.0,chooser_rd,8061622,8258620,49.12342704243612,49.53803264995915,0.4146056075230291,0.024856250116957964
4.0,opponent_rd,8061622,8258620,60.20276356332746,60.220574367754544,0.017810804427085714,0.0003355161065819741
4.0,log_chooser_clock,8061622,8258620,5.371042021429148,5.345774151889104,-0.025267869540043897,-0.03081882778956048
4.0,log_opponent_clock,8061530,8258562,5.437631538120241,5.426568886020559,-0.011062652099682602,-0.0148744285031951
4.0,tournament,8061622,8258620,0.03041732792730793,0.02828838232053297,-0.0021289456067749603,-0.012615396371671712
4.0,month_code,8061622,8258620,11.520297032036481,11.545013089353912,0.02471605731743054,0.0035580877117780208
4.0,speed_code,8061622,8258620,2.225449295439553,2.2178400265419644,-0.007609268897588617,-0.011874086809947417
6.0,price,8267788,8438596,7.297324589875215,7.504800287808554,0.2074756979333392,0.024344232220759335
6.0,engine_eval_cp,8267788,8438596,264.79786274152167,299.68857129787943,34.890708556357765,0.028393942203120377
6.0,chooser_elo,8267788,8438596,1478.537115489657,1439.6101787548546,-38.92693673480244,-0.10485702998562915
6.0,opponent_elo,8267788,8438596,1430.0176105144446,1484.3139404943665,54.29632997992189,0.14597544450339445
6.0,chooser_rd,8267788,8438596,49.78133930730022,50.215863451461566,0.4345241441613439,0.023611380628963632
6.0,opponent_rd,8267788,8438596,60.4187842970045,60.396450714430976,-0.02233358257352336,-0.0004197659194352241
6.0,log_chooser_clock,8267788,8438596,5.376503240520723,5.349883880303881,-0.026619360216842303,-0.03235432868999661
6.0,log_opponent_clock,8267636,8438518,5.443628067084031,5.430956970795264,-0.01267109628876728,-0.016970005331559568
6.0,tournament,8267788,8438596,0.040080248792059014,0.03509647813451432,-0.004983770657544698,-0.02621153113744125
6.0,month_code,8267788,8438596,11.52032296909403,11.54596285922445,0.02563989013041912,0.003691002222417338
6.0,speed_code,8267788,8438596,2.231009551768865,2.2225096449693766,-0.008499906799488421,-0.013227133634188802
