exposure_cell_code,eval_band_code,payoff_class_code,rating_gap_band_code,speed_code,mercy_recipients,claimed_recipients,control_att_weight
938,6,1,4,2,67,1612,0.04156327543424317
939,6,1,4,3,67,1259,0.05321683876092136
940,6,1,4,4,27,227,0.11894273127753303
961,6,2,0,1,6,68,0.08823529411764706
962,6,2,0,2,27,360,0.075
963,6,2,0,3,30,435,0.06896551724137931
964,6,2,0,4,12,49,0.24489795918367346
968,6,2,1,2,49,942,0.05201698513800425
969,6,2,1,3,79,1562,0.05057618437900128
970,6,2,1,4,20,379,0.052770448548812667
973,6,2,2,1,39,908,0.042951541850220265
974,6,2,2,2,364,7813,0.04658901830282862
975,6,2,2,3,475,9131,0.05202058920162085
976,6,2,2,4,75,1009,0.07433102081268583
979,6,2,3,1,259,6868,0.03771112405358183
980,6,2,3,2,2204,54995,0.04007637057914356
981,6,2,3,3,2125,49461,0.04296314267806959
982,6,2,3,4,189,3282,0.05758683729433273
1033,7,0,4,1,42,947,0.044350580781414996
1034,7,0,4,2,419,9401,0.044569726624827145
1035,7,0,4,3,530,10296,0.05147630147630148
1036,7,0,4,4,61,786,0.07760814249363868
1039,7,0,5,1,5,122,0.040983606557377046
1040,7,0,5,2,55,1228,0.04478827361563518
1041,7,0,5,3,109,1662,0.06558363417569193
1042,7,0,5,4,15,208,0.07211538461538461
1046,7,0,6,2,11,102,0.10784313725490197
1047,7,0,6,3,19,221,0.08597285067873303
1048,7,0,6,4,6,51,0.11764705882352941
1053,7,0,7,3,5,57,0.08771929824561403
1082,7,1,4,2,16,315,0.050793650793650794
1083,7,1,4,3,20,296,0.06756756756756757
1084,7,1,4,4,9,91,0.0989010989010989
1106,7,2,0,2,9,104,0.08653846153846154
1107,7,2,0,3,9,121,0.0743801652892562
1112,7,2,1,2,10,234,0.042735042735042736
1113,7,2,1,3,40,469,0.08528784648187633
1114,7,2,1,4,10,125,0.08
1117,7,2,2,1,13,154,0.08441558441558442
1118,7,2,2,2,94,1823,0.05156335710367526
1119,7,2,2,3,153,2427,0.0630407911001236
1120,7,2,2,4,20,287,0.06968641114982578
1123,7,2,3,1,50,1047,0.04775549188156638
1124,7,2,3,2,522,10569,0.04938972466647743
1125,7,2,3,3,702,11455,0.061283282409428194
1126,7,2,3,4,66,865,0.07630057803468208
