replicate,root_seed,users,kind_users,controls,raw_gap_pp,raw_p_two_sided,fe_gap_pp,fe_p_two_sided,full_gap_pp,full_p_two_sided
47,20260826,497762,248881,248881,0.30335782964549324,7.329134388184116e-54,0.3033578296454845,5.860824212799498e-54,0.26577631671217805,4.7050211120987566e-42
48,20260826,497774,248887,248887,0.2969218962822486,2.3843467634398978e-51,0.29692189628225163,1.9250021045325734e-51,0.25551827893985446,1.619742690137084e-38
49,20260826,497796,248898,248898,0.3033371099807953,7.329425009508459e-54,0.30333710998079016,5.880540477111869e-54,0.26184550647649096,1.5037978877347991e-40
50,20260826,497776,248888,248888,0.3017421490791038,3.1665683991724387e-53,0.3017421490790991,2.5556857962665985e-53,0.26263595445468896,6.166243739486634e-41
51,20260826,497778,248889,248889,0.30977664742113953,1.8732602336411018e-56,0.3097766474211377,1.493188677018609e-56,0.2694032581074204,3.1653034388764623e-43
52,20260826,497788,248894,248894,0.322225525725811,1.0362961525294508e-61,0.3222255257258127,8.044420463896125e-62,0.2840307814176653,1.0796812667449411e-48
53,20260826,497774,248887,248887,0.3154041794067187,8.652852127604003e-59,0.3154041794067109,6.789100739161264e-59,0.2749488004150821,2.7446768795874783e-45
54,20260826,497782,248891,248891,0.3065598997151363,3.792726578910807e-55,0.30655989971512737,3.029900921984269e-55,0.26837775531129526,5.191949564289838e-43
55,20260826,497778,248889,248889,0.31781235811948294,8.256865866454581e-60,0.31781235811947933,6.40257259234202e-60,0.27929758709014063,5.4720699708753e-47
56,20260826,497770,248885,248885,0.3262550977359021,1.786931924899885e-63,0.32625509773590733,1.3707774869914164e-63,0.28879923708544514,1.392081971746261e-50
57,20260826,497790,248895,248895,0.3025372144880371,1.52565370908397e-53,0.30253721448803933,1.211626837456482e-53,0.2614695597592658,1.3364511718030583e-40
58,20260826,497792,248896,248896,0.31338390331704813,6.004978439489201e-58,0.3133839033170483,4.7354936587406786e-58,0.2726433622536318,1.9143678021231732e-44
59,20260826,497784,248892,248892,0.30414798386448744,3.510931752656377e-54,0.30414798386448594,2.815754879404826e-54,0.2625968751151344,8.064591926317067e-41
60,20260826,497780,248890,248890,0.3166057294387079,2.6819972638047273e-59,0.31660572943870935,2.070600747855779e-59,0.27673317527977703,7.424826849600243e-46
61,20260826,497782,248891,248891,0.29852425358892043,5.7111331238826436e-52,0.2985242535889083,4.649245571854163e-52,0.256252201278582,7.454547897871065e-39
62,20260826,497792,248896,248896,0.31137503214193885,4.0904946501038525e-57,0.3113750321419332,3.2468678601103145e-57,0.27091243383919744,9.298069449445725e-44
63,20260826,497788,248894,248894,0.29731532298890295,1.6698395023337968e-51,0.29731532298889507,1.350243293639019e-51,0.2600115456657072,4.1826759055916714e-40
64,20260826,497790,248895,248895,0.2920910424074408,1.6216908088995065e-49,0.29209104240744227,1.33156627491456e-49,0.2500916723791788,7.060514264106952e-37
65,20260826,497772,248886,248886,0.3049588968443384,1.6769469787143896e-54,0.30495889684434074,1.3429341481962442e-54,0.26549585539283105,5.3226435194814825e-42
66,20260826,497788,248894,248894,0.3057526497223718,7.986784800954772e-55,0.30575264972236854,6.295335929772971e-55,0.2662564664932335,3.4275326700693665e-42
67,20260826,497788,248894,248894,0.3073597595763659,1.7958592885504523e-55,0.30735975957637585,1.4316128868755614e-55,0.26803442893125445,9.535278169539333e-43
68,20260826,497764,248882,248882,0.3101871569659517,1.2819274811995174e-56,0.31018715696595406,1.0156046163145689e-56,0.266392355736105,3.236137190606986e-42
