model,estimand_class,variable,primary_term,status,coefficient_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,opportunities,collapsed_rows,chooser_clusters,rank
patron_by_five_bin_desert_gradient,appendix_secondary,month_2025_09,False,estimated,-0.09421397517641239,0.017802095135079524,-5.292297028048183,1.2078949744504208e-07,-0.12910544049052397,-0.059322509862300817,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2025_10,False,estimated,-0.041589995200407515,0.01778587907408301,-2.338371638937491,0.019367977652440634,-0.07644967761899482,-0.006730312781820208,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,speed_bullet,False,estimated,0.5296287185792146,0.01014598880530447,52.200798635054376,0.0,0.5097429459332712,0.5495144912251579,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,speed_classical_long,False,estimated,0.7673719973565141,0.025663119785620962,29.901742413503147,1.8677885243761365e-196,0.7170732068457597,0.8176707878672684,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,speed_rapid,False,estimated,0.056075225834583575,0.007484093055568058,7.492588002077875,6.752862147234518e-14,0.04140667298872386,0.07074377868044329,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,speed_ultrabullet,False,estimated,7.252875963068277,1.9496829753633824,3.7200283608756877,0.0001992004079299403,3.431567550085154,11.0741843760514,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,chooser_clock_05_15,False,estimated,-0.8662941862487514,0.08762328495685534,-9.886575088748435,4.760359015619874e-23,-1.0380326689712782,-0.6945557035262246,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,chooser_clock_15_30,False,estimated,-1.2453751048610684,0.08529232283782102,-14.601256753542582,2.757155084823398e-48,-1.4125449857809607,-1.0782052239411761,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,chooser_clock_180_plus,False,estimated,-1.788815205243509,0.08521738006960526,-20.99120160444279,7.892518159569536e-98,-1.9558382010367965,-1.6217922094502213,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,chooser_clock_30_60,False,estimated,-1.3803248095925937,0.08482529362192871,-16.272561527989303,1.5455471107920346e-59,-1.5465793300696091,-1.2140702891155783,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,chooser_clock_60_180,False,estimated,-1.6183372279876949,0.08486505204331447,-19.069536741245475,4.522939100483377e-81,-1.7846696735387086,-1.452004782436681,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,disconnected_clock_15_30,False,estimated,-0.49124460916596036,0.05258166183907881,-9.3425082430709,9.407851755699886e-21,-0.5943027726178189,-0.38818644571410177,HC1,32858962,29562512,1305683,55
