model,estimand_class,variable,status,coefficient_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,n,rank,fixed_effects,clusters,drop_reason
corrected_dates_all_controls_CR1,postcertification_sensitivity,sd_chooser_elo,estimated,0.02724737966197055,0.008517198219198318,3.199101272593749,0.0013785673340694922,0.010553977903153162,0.04394078142078794,CR1,995606,37,match_cell,37,
corrected_dates_all_controls_CR1,postcertification_sensitivity,rating_tier_1200_1599,estimated,-0.08427180846558091,0.02623205796817251,-3.2125504056078378,0.0013156206028096232,-0.13568569732356597,-0.03285791960759584,CR1,995606,37,match_cell,37,
corrected_dates_all_controls_CR1,postcertification_sensitivity,rating_tier_1600_1999,estimated,0.005721179096684015,0.03469175785458882,0.16491464977544373,0.8690111614302569,-0.0622734168586946,0.07371577505206263,CR1,995606,37,match_cell,37,
corrected_dates_all_controls_CR1,postcertification_sensitivity,rating_tier_2000_2399,estimated,0.38076139368063444,0.0703002235447539,5.416218818112826,6.087259773130283e-08,0.24297548742780206,0.5185472999334668,CR1,995606,37,match_cell,37,
corrected_dates_all_controls_CR1,postcertification_sensitivity,rating_tier_2400_plus,estimated,1.1244726042284805,0.23479983318595302,4.789069008145073,1.6755685744184546e-06,0.664273387608,1.584671820848961,CR1,995606,37,match_cell,37,
corrected_dates_all_controls_CR1,postcertification_sensitivity,current_bullet_rating,estimated,0.10458394020222461,0.017301828339421812,6.044675634882618,1.4971088678884684e-09,0.07067297979026341,0.13849490061418582,CR1,995606,37,match_cell,37,
corrected_dates_all_controls_CR1,postcertification_sensitivity,current_blitz_rating,estimated,-0.01096801056820873,0.011422430385011012,-0.960216888920716,0.33694606855870257,-0.03335556273874629,0.011419541602328834,CR1,995606,37,match_cell,37,
corrected_dates_all_controls_CR1,postcertification_sensitivity,current_rapid_rating,estimated,0.09547110237685247,0.016371954075014593,5.831381027543432,5.497049893830145e-09,0.0633826620332801,0.12755954272042486,CR1,995606,37,match_cell,37,
corrected_dates_all_controls_CR1,postcertification_sensitivity,current_classical_rating,estimated,0.12661434001511598,0.017247007627713515,7.341235230374952,2.1163147626888466e-13,0.0928108262237099,0.16041785380652207,CR1,995606,37,match_cell,37,
corrected_dates_all_controls_CR1,postcertification_sensitivity,current_correspondence_rating,estimated,0.30770129648377936,0.03326336612479455,9.250455751512726,2.2353747635464148e-20,0.2425062968746124,0.37289629609294633,CR1,995606,37,match_cell,37,
corrected_dates_all_controls_CR1,postcertification_sensitivity,days_since_seen_at_query__missing,dropped,,,,,,,CR1,995606,37,match_cell,37,deterministically_collinear
corrected_dates_all_controls_CR1,postcertification_sensitivity,share_fair,dropped,,,,,,,CR1,995606,37,match_cell,37,deterministically_collinear
corrected_dates_all_controls_CR1,postcertification_sensitivity,share_clearly_worse,dropped,,,,,,,CR1,995606,37,match_cell,37,deterministically_collinear
corrected_dates_all_controls_CR1,postcertification_sensitivity,share_fair_costly,dropped,,,,,,,CR1,995606,37,match_cell,37,deterministically_collinear
corrected_dates_all_controls_CR1,postcertification_sensitivity,share_speed_other,dropped,,,,,,,CR1,995606,37,match_cell,37,zero_after_fixed_effect_absorption
