model,estimand_class,variable,status,coefficient_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,n,rank,fixed_effects,clusters,drop_reason
five_bin_chooser_min2_full_HC1,postcertification_secondary,rating_tier_2400_plus,estimated,2.146857374419824,1.6794607762707203,1.2783015862906713,0.20114310874615038,-1.1448252605184694,5.4385400093581175,HC1,254832,46,match_cell,,
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_bullet_rating,estimated,0.15447506346076076,0.01840920202889556,8.391187364791408,4.8125663405496933e-17,0.11839369050000377,0.19055643642151776,HC1,254832,46,match_cell,,
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_blitz_rating,estimated,-0.047606483186553916,0.02486605914586395,-1.9145166070463744,0.05555417924105543,-0.09634306354989008,0.0011300971767822451,HC1,254832,46,match_cell,,
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_rapid_rating,estimated,0.08269368708739772,0.019163003918611737,4.315277888509061,1.5940225431621693e-05,0.04513488957131879,0.12025248460347665,HC1,254832,46,match_cell,,
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_classical_rating,estimated,0.09766840423507393,0.016401765471071316,5.9547494693383465,2.6047052857954295e-09,0.06552153462890152,0.12981527384124636,HC1,254832,46,match_cell,,
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_correspondence_rating,estimated,0.3137880417905632,0.027186731923267596,11.541955196240767,8.10614431657648e-31,0.26050302636361333,0.36707305721751304,HC1,254832,46,match_cell,,
five_bin_chooser_min2_full_HC1,postcertification_secondary,days_since_seen_at_query__missing,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min2_full_HC1,postcertification_secondary,share_fair,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min2_full_HC1,postcertification_secondary,share_clearly_worse,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min2_full_HC1,postcertification_secondary,share_fair_costly,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min2_full_HC1,postcertification_secondary,share_speed_other,dropped,,,,,,,HC1,254832,46,match_cell,,zero_after_fixed_effect_absorption
five_bin_chooser_min2_full_HC1,postcertification_secondary,log1p_count_all,dropped,,,,,,,HC1,254832,46,match_cell,,zero_after_fixed_effect_absorption
five_bin_chooser_min2_full_HC1,postcertification_secondary,log1p_count_rated,dropped,,,,,,,HC1,254832,46,match_cell,,zero_after_fixed_effect_absorption
five_bin_chooser_min2_full_HC1,postcertification_secondary,count_all__missing,dropped,,,,,,,HC1,254832,46,match_cell,,zero_after_fixed_effect_absorption
five_bin_chooser_min2_full_HC1,postcertification_secondary,count_rated__missing,dropped,,,,,,,HC1,254832,46,match_cell,,zero_after_fixed_effect_absorption
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_bullet_games__missing,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_blitz_games__missing,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_rapid_games__missing,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_classical_games__missing,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_bullet_rating__missing,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_blitz_rating__missing,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_rapid_rating__missing,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_classical_rating__missing,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min2_full_HC1,postcertification_secondary,current_correspondence_rating__missing,dropped,,,,,,,HC1,254832,46,match_cell,,deterministically_collinear
five_bin_chooser_min4_exposure_HC1,postcertification_secondary,ever_kind_eval_clearly_better,estimated,0.27170285238861946,0.1040098207548566,2.6122807482670587,0.008994036147371655,0.06784734967063391,0.47555835510660505,HC1,100904,10,match_cell,,
five_bin_chooser_min4_exposure_HC1,postcertification_secondary,ever_kind_eval_better,estimated,0.32266201610749023,0.133433568566661,2.4181472441568865,0.015599762869815745,0.06113702738817883,0.5841870048268016,HC1,100904,10,match_cell,,
five_bin_chooser_min4_exposure_HC1,postcertification_secondary,ever_kind_eval_roughly_equal,estimated,0.13985835444274883,0.09537843618329728,1.4663519348752008,0.14255243356692687,-0.047079945378265764,0.3267966542637634,HC1,100904,10,match_cell,,
five_bin_chooser_min4_exposure_HC1,postcertification_secondary,ever_kind_eval_modestly_worse,estimated,0.029595783925166375,0.1554977711947503,0.19032931274686685,0.8490510852068132,-0.27517424729279405,0.3343658151431268,HC1,100904,10,match_cell,,
five_bin_chooser_min4_exposure_HC1,postcertification_secondary,ever_kind_eval_clearly_worse,estimated,-0.22660312937676488,0.07203197586454216,-3.145868576517982,0.0016559439797213852,-0.36778320780652596,-0.08542305094700384,HC1,100904,10,match_cell,,
five_bin_chooser_min4_exposure_HC1,postcertification_secondary,log_eval_clearly_better_opps,estimated,-0.09935487477196372,0.031406742473035064,-3.1634886953738355,0.0015589040593119291,-0.16091095889083687,-0.03779879065309057,HC1,100904,10,match_cell,,
five_bin_chooser_min4_exposure_HC1,postcertification_secondary,log_eval_better_opps,estimated,-0.08164815641377449,0.032124020886628364,-2.5416543184903904,0.01103292303263004,-0.14461008039017853,-0.018686232437370442,HC1,100904,10,match_cell,,
